               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.021605,            0.010952,           0.0013643,              0.7493,             0.79111,             0.82305,             0.61679,            0.022347,           0.0078535,           0.0014103,            0.004951,            0.004951,            0.004951
                  53,            0.021322,            0.010827,           0.0010175,             0.72311,             0.82647,              0.8251,             0.60639,            0.023089,           0.0078554,           0.0012815,            0.004852,            0.004852,            0.004852
                  54,            0.021776,            0.011273,           0.0012117,             0.75166,             0.82523,             0.83549,             0.61594,            0.023519,           0.0079861,           0.0013735,            0.004753,            0.004753,            0.004753
                  55,            0.021649,            0.011197,           0.0010822,             0.75291,              0.8473,             0.83941,             0.60986,            0.023087,           0.0077214,           0.0012816,            0.004654,            0.004654,            0.004654
                  56,            0.021847,            0.010972,           0.0011001,             0.71259,             0.79111,             0.81801,             0.61406,            0.021897,           0.0078466,           0.0011909,            0.004555,            0.004555,            0.004555
                  57,            0.020544,            0.010235,           0.0010296,             0.71597,             0.88675,             0.84391,             0.62768,            0.021951,           0.0076687,           0.0015964,            0.004456,            0.004456,            0.004456
                  58,            0.020771,            0.010535,           0.0011201,             0.75262,             0.79924,             0.83508,             0.62234,            0.021885,           0.0077822,           0.0010695,            0.004357,            0.004357,            0.004357
                  59,             0.02149,            0.010588,           0.0010559,             0.75076,                0.88,             0.86523,             0.63576,            0.021518,           0.0072558,           0.0015067,            0.004258,            0.004258,            0.004258
                  60,            0.020257,           0.0099206,            0.000771,             0.75529,             0.85056,             0.84611,             0.61862,            0.022063,            0.007834,           0.0013161,            0.004159,            0.004159,            0.004159
                  61,            0.019681,            0.010428,          0.00077857,             0.77266,                0.87,             0.86482,             0.64171,            0.021383,           0.0075982,           0.0012208,             0.00406,             0.00406,             0.00406
                  62,            0.019958,            0.010114,          0.00062651,             0.78562,             0.82919,              0.8446,             0.62556,            0.021698,            0.007575,           0.0012333,            0.003961,            0.003961,            0.003961
                  63,            0.020007,           0.0097729,          0.00069347,             0.76804,             0.86001,             0.85258,             0.63976,            0.021193,           0.0075891,           0.0012472,            0.003862,            0.003862,            0.003862
                  64,            0.019803,           0.0095369,          0.00070205,             0.78041,             0.86136,             0.85559,             0.63714,            0.020972,            0.007477,           0.0010732,            0.003763,            0.003763,            0.003763
                  65,            0.019941,            0.010098,          0.00085344,              0.7824,             0.85809,             0.84416,              0.6301,             0.02066,           0.0074854,           0.0011124,            0.003664,            0.003664,            0.003664
                  66,            0.019327,           0.0097831,          0.00092846,             0.75342,             0.87724,             0.85443,             0.63715,            0.021046,           0.0073299,          0.00099541,            0.003565,            0.003565,            0.003565
                  67,            0.019053,            0.010274,          0.00076881,              0.8041,             0.83778,             0.86799,             0.64128,            0.021089,           0.0075433,           0.0011134,            0.003466,            0.003466,            0.003466
                  68,            0.018509,            0.010159,          0.00064788,             0.76448,             0.84508,             0.85607,             0.64733,            0.020285,           0.0072777,           0.0011473,            0.003367,            0.003367,            0.003367
                  69,            0.018774,           0.0094093,          0.00075462,             0.73601,             0.85139,             0.85781,             0.62918,            0.021532,           0.0077364,           0.0011574,            0.003268,            0.003268,            0.003268
                  70,            0.018776,           0.0096177,          0.00065629,             0.77415,             0.85389,             0.86905,             0.65251,            0.020853,           0.0074358,           0.0010132,            0.003169,            0.003169,            0.003169
                  71,            0.018233,           0.0095837,          0.00061843,             0.78703,             0.80333,             0.85833,             0.63327,            0.021114,           0.0075738,           0.0011896,             0.00307,             0.00307,             0.00307
                  72,            0.018286,           0.0099408,          0.00085628,             0.78251,             0.82833,             0.85415,             0.64586,            0.020911,           0.0075202,           0.0013691,            0.002971,            0.002971,            0.002971
                  73,            0.018337,           0.0094384,          0.00062789,             0.79088,             0.82778,             0.85631,             0.64108,             0.02156,           0.0076766,           0.0016392,            0.002872,            0.002872,            0.002872
                  74,            0.018283,           0.0094134,          0.00074123,             0.78615,             0.86703,             0.86326,             0.64911,            0.021268,           0.0074983,           0.0013851,            0.002773,            0.002773,            0.002773
